04-21-2025 15:13:43 RAM 1557/6855MB (lfb 13x2MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1420,25%@1420,66%@1420,58%@1420,25%@1420,100%@1420] EMC_FREQ 1%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42.5C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 7331mW/7331mW VDD_CPU_GPU_CV 2371mW/2371mW VDD_SOC 1469mW/1469mW
04-21-2025 15:13:44 RAM 1596/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1419,0%@1420,100%@1420,8%@1420,9%@1421,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6881mW/7115mW VDD_CPU_GPU_CV 1881mW/2149mW VDD_SOC 1429mW/1435mW
04-21-2025 15:13:44 RAM 1597/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,0%@1420,100%@1420,9%@1420,8%@1417,8%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6799mW/7091mW VDD_CPU_GPU_CV 1840mW/2126mW VDD_SOC 1429mW/1435mW
04-21-2025 15:13:44 RAM 1599/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,16%@1420,100%@1419,8%@1420,0%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6758mW/7067mW VDD_CPU_GPU_CV 1799mW/2102mW VDD_SOC 1429mW/1434mW
04-21-2025 15:13:44 RAM 1600/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,9%@1419,100%@1420,9%@1419,0%@1419,0%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6717mW/7044mW VDD_CPU_GPU_CV 1758mW/2079mW VDD_SOC 1388mW/1431mW
04-21-2025 15:13:44 RAM 1603/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1420,100%@1420,8%@1420,0%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6676mW/7021mW VDD_CPU_GPU_CV 1758mW/2059mW VDD_SOC 1388mW/1428mW
04-21-2025 15:13:44 RAM 1606/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1419,18%@1420,25%@1419,9%@1420,75%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6717mW/7003mW VDD_CPU_GPU_CV 1758mW/2041mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:44 RAM 1609/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1419,15%@1413,100%@1415,0%@1418,0%@1418,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6676mW/6984mW VDD_CPU_GPU_CV 1717mW/2023mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1614/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1419,9%@1420,100%@1420,8%@1419,9%@1417,8%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6717mW/6970mW VDD_CPU_GPU_CV 1717mW/2007mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1616/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,16%@1420,100%@1419,0%@1420,16%@1417,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6706mW/6957mW VDD_CPU_GPU_CV 1758mW/1995mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1620/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1419,0%@1419,100%@1419,0%@1420,16%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6666mW/6943mW VDD_CPU_GPU_CV 1717mW/1981mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1623/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1423,0%@1420,100%@1420,8%@1420,9%@1419,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6758mW/6935mW VDD_CPU_GPU_CV 1799mW/1973mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1625/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,8%@1419,100%@1419,9%@1420,9%@1422,0%@1411] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6706mW/6925mW VDD_CPU_GPU_CV 1758mW/1964mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1626/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1417,0%@1420,100%@1420,0%@1420,8%@1418,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6666mW/6914mW VDD_CPU_GPU_CV 1758mW/1955mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1628/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1419,8%@1420,100%@1421,0%@1419,0%@1419,16%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6543mW/6899mW VDD_CPU_GPU_CV 1717mW/1946mW VDD_SOC 1429mW/1428mW
04-21-2025 15:13:45 RAM 1632/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,9%@1420,100%@1419,0%@1420,8%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6461mW/6882mW VDD_CPU_GPU_CV 1717mW/1937mW VDD_SOC 1388mW/1427mW
04-21-2025 15:13:46 RAM 1635/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,8%@1419,100%@1420,8%@1419,0%@1421,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6717mW/6876mW VDD_CPU_GPU_CV 1963mW/1938mW VDD_SOC 1388mW/1425mW
04-21-2025 15:13:46 RAM 1640/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,9%@1420,100%@1420,21%@1419,9%@1419,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6758mW/6872mW VDD_CPU_GPU_CV 2003mW/1940mW VDD_SOC 1388mW/1424mW
04-21-2025 15:13:46 RAM 1645/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1420,10%@1419,100%@1420,0%@1420,16%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6799mW/6869mW VDD_CPU_GPU_CV 2126mW/1946mW VDD_SOC 1388mW/1423mW
04-21-2025 15:13:46 RAM 1649/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1420,100%@1419,0%@1420,9%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6758mW/6866mW VDD_CPU_GPU_CV 2085mW/1951mW VDD_SOC 1388mW/1422mW
04-21-2025 15:13:46 RAM 1654/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1422,16%@1418,100%@1420,0%@1419,14%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6625mW/6858mW VDD_CPU_GPU_CV 1963mW/1951mW VDD_SOC 1388mW/1421mW
04-21-2025 15:13:46 RAM 1659/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1418,8%@1420,100%@1418,15%@1419,0%@1420,69%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6543mW/6848mW VDD_CPU_GPU_CV 1922mW/1951mW VDD_SOC 1388mW/1419mW
04-21-2025 15:13:46 RAM 1662/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1420,16%@1420,100%@1420,8%@1420,8%@1420,41%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6717mW/6844mW VDD_CPU_GPU_CV 2085mW/1955mW VDD_SOC 1388mW/1419mW
04-21-2025 15:13:46 RAM 1664/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1419,8%@1420,100%@1421,0%@1421,0%@1415,8%@1416] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6676mW/6839mW VDD_CPU_GPU_CV 2044mW/1957mW VDD_SOC 1388mW/1418mW
04-21-2025 15:13:46 RAM 1668/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1420,8%@1420,100%@1420,0%@1420,15%@1419,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6594mW/6832mW VDD_CPU_GPU_CV 1963mW/1957mW VDD_SOC 1388mW/1417mW
04-21-2025 15:13:47 RAM 1672/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1418,8%@1420,100%@1419,0%@1420,0%@1422,8%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6502mW/6823mW VDD_CPU_GPU_CV 1881mW/1955mW VDD_SOC 1388mW/1416mW
04-21-2025 15:13:47 RAM 1679/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1420,30%@1420,100%@1420,9%@1418,9%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6543mW/6815mW VDD_CPU_GPU_CV 1922mW/1954mW VDD_SOC 1388mW/1415mW
04-21-2025 15:13:47 RAM 1686/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [25%@1420,16%@1411,100%@1420,0%@1420,9%@1420,15%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6594mW/6809mW VDD_CPU_GPU_CV 1963mW/1955mW VDD_SOC 1388mW/1414mW
04-21-2025 15:13:47 RAM 1691/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [18%@1420,0%@1420,100%@1420,0%@1420,8%@1419,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6502mW/6802mW VDD_CPU_GPU_CV 1881mW/1953mW VDD_SOC 1388mW/1414mW
04-21-2025 15:13:47 RAM 1691/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1421,0%@1420,100%@1420,9%@1418,0%@1418,0%@1421] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6461mW/6793mW VDD_CPU_GPU_CV 1840mW/1950mW VDD_SOC 1388mW/1413mW
04-21-2025 15:13:47 RAM 1693/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1419,16%@1420,100%@1419,0%@1420,66%@1420,9%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6420mW/6784mW VDD_CPU_GPU_CV 1799mW/1946mW VDD_SOC 1388mW/1412mW
04-21-2025 15:13:47 RAM 1698/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1420,10%@1420,100%@1415,0%@1419,33%@1419,9%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40C PMIC@50C VDD_IN 6338mW/6773mW VDD_CPU_GPU_CV 1758mW/1942mW VDD_SOC 1388mW/1412mW
04-21-2025 15:13:47 RAM 1701/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1422,8%@1412,100%@1420,0%@1418,14%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@40C GPU@40.5C PMIC@50C VDD_IN 6307mW/6762mW VDD_CPU_GPU_CV 1717mW/1936mW VDD_SOC 1388mW/1411mW
04-21-2025 15:13:48 RAM 1704/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,9%@1420,100%@1421,0%@1414,7%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6307mW/6752mW VDD_CPU_GPU_CV 1676mW/1930mW VDD_SOC 1388mW/1411mW
04-21-2025 15:13:48 RAM 1706/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [33%@1420,16%@1420,100%@1420,15%@1419,9%@1420,0%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6389mW/6744mW VDD_CPU_GPU_CV 1717mW/1926mW VDD_SOC 1388mW/1410mW
04-21-2025 15:13:48 RAM 1706/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [27%@1419,0%@1420,100%@1419,0%@1420,0%@1421,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6379mW/6736mW VDD_CPU_GPU_CV 1717mW/1921mW VDD_SOC 1388mW/1410mW
04-21-2025 15:13:48 RAM 1708/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,8%@1419,100%@1414,0%@1420,9%@1420,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6338mW/6728mW VDD_CPU_GPU_CV 1676mW/1916mW VDD_SOC 1388mW/1409mW
04-21-2025 15:13:48 RAM 1711/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1419,8%@1419,100%@1419,0%@1420,15%@1419,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6297mW/6719mW VDD_CPU_GPU_CV 1676mW/1911mW VDD_SOC 1388mW/1409mW
04-21-2025 15:13:48 RAM 1712/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [16%@1420,0%@1415,100%@1421,0%@1419,9%@1418,21%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6379mW/6712mW VDD_CPU_GPU_CV 1717mW/1907mW VDD_SOC 1388mW/1408mW
04-21-2025 15:13:48 RAM 1714/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1419,8%@1419,100%@1426,0%@1420,8%@1420,16%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.95C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6389mW/6705mW VDD_CPU_GPU_CV 1758mW/1904mW VDD_SOC 1388mW/1408mW
04-21-2025 15:13:48 RAM 1717/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [23%@1420,15%@1420,100%@1418,0%@1420,16%@1420,16%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6389mW/6699mW VDD_CPU_GPU_CV 1758mW/1901mW VDD_SOC 1388mW/1408mW
04-21-2025 15:13:49 RAM 1717/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [10%@1418,0%@1420,100%@1419,0%@1421,0%@1420,0%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@39.5C GPU@40C PMIC@50C VDD_IN 6307mW/6691mW VDD_CPU_GPU_CV 1717mW/1898mW VDD_SOC 1388mW/1407mW
04-21-2025 15:13:49 RAM 1717/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1418,0%@1418,100%@1420,0%@1420,9%@1420,16%@1417] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6257mW/6683mW VDD_CPU_GPU_CV 1676mW/1893mW VDD_SOC 1388mW/1407mW
04-21-2025 15:13:49 RAM 1717/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [20%@1419,16%@1417,100%@1418,8%@1420,9%@1418,23%@1418] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6216mW/6675mW VDD_CPU_GPU_CV 1676mW/1889mW VDD_SOC 1388mW/1406mW
04-21-2025 15:13:49 RAM 1717/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [30%@1419,9%@1417,100%@1412,0%@1420,9%@1420,9%@1419] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@41.5C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6175mW/6665mW VDD_CPU_GPU_CV 1635mW/1885mW VDD_SOC 1347mW/1405mW
04-21-2025 15:13:49 RAM 1717/6855MB (lfb 10x2MB) SWAP 231/3427MB (cached 3MB) CPU [9%@1418,0%@1420,100%@1420,0%@1419,8%@1419,8%@1420] EMC_FREQ 0%@1866 GR3D_FREQ 0%@1109 VIC_FREQ 115 APE 150 AUX@40.5C CPU@42C thermal@40.8C AO@39.5C GPU@40.5C PMIC@50C VDD_IN 6144mW/6656mW VDD_CPU_GPU_CV 1635mW/1880mW VDD_SOC 1347mW/1404mW
