04-21-2025 12:26:17 RAM 3944/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [50%@1651,42%@1651,38%@1651,30%@1651,41%@2201,53%@2201,100%@2201,66%@2201,46%@1355,30%@1190,35%@1190,30%@1190] EMC_FREQ 5%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.031C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.5C CV1@-256C GPU@46.593C tj@51.031C SOC1@47.625C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4645/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,7%@729,0%@729,14%@2201,7%@2201,84%@2201,0%@2201,7%@729,7%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 22%@305 GR3D2_FREQ 24%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.312C tj@51.093C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2780mW/2979mW VDD_CPU_CV 2383mW/2482mW VIN_SYS_5V0 4838mW/4821mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4717/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,7%@729,14%@729,7%@2201,0%@2201,80%@2201,7%@2201,14%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 47%@305 GR3D2_FREQ 47%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.156C Tboard@38C SOC2@46.156C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.281C tj@51.093C SOC1@47.468C CV2@-256C VDD_GPU_SOC 2780mW/2963mW VDD_CPU_CV 2383mW/2474mW VIN_SYS_5V0 4838mW/4822mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4798/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,7%@729,0%@729,14%@729,15%@2201,0%@2201,85%@2201,0%@2201,21%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 26%@305 GR3D2_FREQ 18%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.25C Tboard@38C SOC2@46.156C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46.5C tj@50.75C SOC1@47.687C CV2@-256C VDD_GPU_SOC 2780mW/2950mW VDD_CPU_CV 2383mW/2468mW VIN_SYS_5V0 4838mW/4823mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4860/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@989,0%@729,7%@729,0%@729,8%@2201,0%@2201,91%@2201,7%@2201,15%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 21%@305 GR3D2_FREQ 21%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.156C Tdiode@40C SOC0@47.406C CV1@-256C GPU@46C tj@50.687C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/2939mW VDD_CPU_CV 2383mW/2462mW VIN_SYS_5V0 4838mW/4824mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4888/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@729,0%@729,7%@729,0%@729,8%@2201,0%@2201,92%@2201,0%@2201,15%@729,0%@729,7%@729,7%@729] EMC_FREQ 2%@2133 GR3D_FREQ 22%@305 GR3D2_FREQ 22%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.312C CV1@-256C GPU@46.343C tj@50.593C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2782mW/2929mW VDD_CPU_CV 2383mW/2457mW VIN_SYS_5V0 4838mW/4825mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4895/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,0%@729,8%@2201,0%@2201,100%@2201,0%@2201,21%@729,0%@729,0%@729,7%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.875C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.312C CV1@-256C GPU@45.906C tj@50.656C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2782mW/2920mW VDD_CPU_CV 2384mW/2453mW VIN_SYS_5V0 4737mW/4820mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4896/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@729,0%@729,0%@729,7%@729,20%@2201,7%@2201,100%@2201,0%@2201,21%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.218C CV1@-256C GPU@45.968C tj@50.781C SOC1@47.625C CV2@-256C VDD_GPU_SOC 2782mW/2913mW VDD_CPU_CV 2383mW/2449mW VIN_SYS_5V0 4636mW/4809mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1102mW NC 0mW/0mW
04-21-2025 12:26:19 RAM 4895/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,13%@729,7%@729,15%@2201,0%@2201,100%@2201,0%@2201,23%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.75C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46.312C tj@50.75C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2782mW/2906mW VDD_CPU_CV 2383mW/2445mW VIN_SYS_5V0 4636mW/4800mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1097mW NC 0mW/0mW
04-21-2025 12:26:20 RAM 4928/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,6%@729,0%@729,7%@729,14%@2201,0%@2201,66%@2201,0%@2201,7%@729,7%@729,7%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 11%@305 GR3D2_FREQ 11%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.656C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.593C tj@50.656C SOC1@47.437C CV2@-256C VDD_GPU_SOC 3179mW/2919mW VDD_CPU_CV 2383mW/2442mW VIN_SYS_5V0 4737mW/4797mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1093mW NC 0mW/0mW
04-21-2025 12:26:20 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,0%@729,6%@729,0%@729,7%@2201,0%@2201,57%@2201,7%@2201,13%@729,6%@729,14%@729,14%@729] EMC_FREQ 2%@2133 GR3D_FREQ 16%@305 GR3D2_FREQ 16%@306 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.75C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.312C tj@50.75C SOC1@47.593C CV2@-256C VDD_GPU_SOC 3179mW/2932mW VDD_CPU_CV 2383mW/2439mW VIN_SYS_5V0 4838mW/4799mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1093mW NC 0mW/0mW
04-21-2025 12:26:20 RAM 4920/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@729,0%@729,7%@729,14%@2201,0%@2201,53%@2201,6%@2201,8%@729,0%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 30%@305 GR3D2_FREQ 30%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.25C Tdiode@39.75C SOC0@47.406C CV1@-256C GPU@46.25C tj@50.531C SOC1@47.562C CV2@-256C VDD_GPU_SOC 3576mW/2961mW VDD_CPU_CV 1986mW/2419mW VIN_SYS_5V0 4939mW/4805mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1099mW NC 0mW/0mW
04-21-2025 12:26:20 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,14%@729,0%@729,7%@2201,0%@2201,61%@2201,0%@2201,15%@729,0%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 59%@306 GR3D2_FREQ 59%@306 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.312C Tdiode@39.75C SOC0@47.312C CV1@-256C GPU@46.375C tj@50.437C SOC1@47.468C CV2@-256C VDD_GPU_SOC 3576mW/2988mW VDD_CPU_CV 1986mW/2400mW VIN_SYS_5V0 4939mW/4811mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1103mW NC 0mW/0mW
04-21-2025 12:26:20 RAM 4920/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@729,7%@729,0%@729,7%@729,8%@2112,0%@2112,50%@2112,0%@2112,15%@729,7%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 13%@305 GR3D2_FREQ 13%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.343C tj@50.593C SOC1@47.75C CV2@-256C VDD_GPU_SOC 3974mW/3029mW VDD_CPU_CV 1987mW/2383mW VIN_SYS_5V0 4939mW/4816mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1108mW NC 0mW/0mW
04-21-2025 12:26:20 RAM 4920/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,0%@729,8%@2201,0%@2201,50%@2201,7%@2201,15%@729,0%@729,0%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 62%@305 GR3D2_FREQ 62%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.406C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.593C tj@50.406C SOC1@47.562C CV2@-256C VDD_GPU_SOC 3974mW/3066mW VDD_CPU_CV 1986mW/2367mW VIN_SYS_5V0 5040mW/4825mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1116mW NC 0mW/0mW
04-21-2025 12:26:20 RAM 4920/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,7%@729,7%@729,0%@2201,0%@2201,53%@2201,0%@2201,15%@729,7%@729,13%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 77%@305 GR3D2_FREQ 77%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.406C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.281C tj@50.406C SOC1@47.531C CV2@-256C VDD_GPU_SOC 3974mW/3101mW VDD_CPU_CV 1986mW/2352mW VIN_SYS_5V0 5040mW/4834mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1123mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4920/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@729,0%@729,6%@729,0%@729,14%@2201,0%@2201,53%@2201,0%@2201,7%@729,7%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 83%@305 GR3D2_FREQ 83%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.5C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.5C tj@50.687C SOC1@47.625C CV2@-256C VDD_GPU_SOC 3972mW/3134mW VDD_CPU_CV 1986mW/2338mW VIN_SYS_5V0 5040mW/4841mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1130mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4920/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@730,0%@729,0%@729,7%@729,13%@2201,0%@2201,57%@2201,0%@2201,14%@729,0%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 35%@305 GR3D2_FREQ 35%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.343C tj@50.375C SOC1@47.5C CV2@-256C VDD_GPU_SOC 3972mW/3164mW VDD_CPU_CV 1986mW/2326mW VIN_SYS_5V0 5040mW/4848mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1137mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [6%@729,0%@729,0%@729,5%@729,12%@2201,0%@2201,58%@2201,5%@2201,12%@729,6%@729,5%@729,5%@729] EMC_FREQ 4%@2133 GR3D_FREQ 16%@305 GR3D2_FREQ 16%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.437C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46.218C tj@50.437C SOC1@47.562C CV2@-256C VDD_GPU_SOC 3974mW/3191mW VDD_CPU_CV 1986mW/2314mW VIN_SYS_5V0 5040mW/4855mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1142mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@2201,0%@2201,7%@2201,7%@2201,7%@2201,0%@2201,53%@2201,7%@2201,14%@729,7%@729,7%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 63%@305 GR3D2_FREQ 34%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.406C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.75C tj@50.562C SOC1@47.718C CV2@-256C VDD_GPU_SOC 4371mW/3231mW VDD_CPU_CV 1986mW/2303mW VIN_SYS_5V0 5040mW/4861mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1148mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [0%@729,0%@729,7%@729,0%@729,21%@2201,0%@2201,53%@2201,0%@2201,0%@729,0%@729,7%@729,7%@729] EMC_FREQ 5%@2133 GR3D_FREQ 85%@305 GR3D2_FREQ 85%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.375C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.437C tj@50.375C SOC1@47.562C CV2@-256C VDD_GPU_SOC 4371mW/3268mW VDD_CPU_CV 1986mW/2293mW VIN_SYS_5V0 5040mW/4867mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1153mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [9%@976,0%@729,0%@729,7%@729,8%@2201,7%@2201,58%@2201,7%@2201,8%@729,7%@729,0%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 55%@305 GR3D2_FREQ 55%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.625C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.312C CV1@-256C GPU@46.593C tj@50.625C SOC1@47.468C CV2@-256C VDD_GPU_SOC 3974mW/3290mW VDD_CPU_CV 1986mW/2283mW VIN_SYS_5V0 5040mW/4872mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1158mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,7%@729,0%@729,0%@729,8%@2201,0%@2201,53%@2201,0%@2201,15%@729,0%@729,7%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 14%@305 GR3D2_FREQ 94%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.718C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.312C CV1@-256C GPU@46.687C tj@50.718C SOC1@47.75C CV2@-256C VDD_GPU_SOC 4370mW/3322mW VDD_CPU_CV 1986mW/2274mW VIN_SYS_5V0 5040mW/4877mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1163mW NC 0mW/0mW
04-21-2025 12:26:21 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,15%@2201,0%@2201,61%@2201,7%@2201,8%@729,14%@729,0%@729,7%@729] EMC_FREQ 5%@2133 GR3D_FREQ 35%@305 GR3D2_FREQ 35%@306 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.718C tj@50.468C SOC1@47.562C CV2@-256C VDD_GPU_SOC 4370mW/3353mW VDD_CPU_CV 1986mW/2266mW VIN_SYS_5V0 5040mW/4882mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1167mW NC 0mW/0mW
04-21-2025 12:26:22 RAM 4921/30587MB (lfb 8x4MB) SWAP 31/15294MB (cached 0MB) CPU [9%@2201,0%@2201,7%@2201,0%@1570,15%@2201,0%@2201,50%@2201,0%@2201,8%@729,0%@729,0%@729,7%@729] EMC_FREQ 5%@2133 GR3D_FREQ 35%@305 GR3D2_FREQ 35%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.718C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.218C tj@50.718C SOC1@47.406C CV2@-256C VDD_GPU_SOC 4370mW/3382mW VDD_CPU_CV 1986mW/2258mW VIN_SYS_5V0 5040mW/4887mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1171mW NC 0mW/0mW
