04-21-2025 12:28:57 RAM 3960/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [35%@1113,21%@1113,23%@1113,23%@1190,35%@2201,100%@2201,28%@2201,31%@2201,30%@883,23%@883,28%@883,26%@883] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.562C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.187C CV1@-256C GPU@46.343C tj@51.562C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:28:58 RAM 4107/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [25%@729,6%@729,0%@729,6%@729,13%@2201,100%@2201,0%@2201,0%@2201,14%@729,6%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.312C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46.125C tj@50.875C SOC1@47.593C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2647mW VIN_SYS_5V0 4636mW/4694mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1041mW NC 0mW/0mW
04-21-2025 12:28:58 RAM 4110/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,7%@2201,0%@2200,0%@729,15%@2201,100%@2201,0%@2201,0%@2201,14%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.906C Tboard@38C SOC2@46.156C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.093C tj@50.906C SOC1@47.75C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2627mW VIN_SYS_5V0 4737mW/4698mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1046mW NC 0mW/0mW
04-21-2025 12:28:58 RAM 4118/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,14%@729,7%@729,18%@729,0%@2201,100%@2201,0%@2201,0%@2201,8%@729,7%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.343C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.5C CV1@-256C GPU@46.437C tj@50.968C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2610mW VIN_SYS_5V0 4737mW/4700mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1043mW NC 0mW/0mW
04-21-2025 12:28:59 RAM 4119/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@729,0%@729,0%@729,0%@729,15%@2201,100%@2201,7%@2201,0%@2201,7%@729,0%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.312C Tboard@38C SOC2@46.375C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.093C tj@50.968C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2594mW VIN_SYS_5V0 4636mW/4696mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1041mW NC 0mW/0mW
04-21-2025 12:28:59 RAM 4121/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,0%@729,0%@729,7%@729,8%@2201,100%@2201,7%@2201,0%@2201,15%@729,0%@729,7%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.562C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.281C tj@51.562C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2581mW VIN_SYS_5V0 4636mW/4692mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1039mW NC 0mW/0mW
04-21-2025 12:28:59 RAM 4125/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@729,0%@729,7%@729,7%@729,15%@2201,100%@2201,0%@2201,0%@2201,15%@729,0%@729,13%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.593C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.187C tj@51.593C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2569mW VIN_SYS_5V0 4636mW/4689mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1037mW NC 0mW/0mW
04-21-2025 12:28:59 RAM 4131/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@729,7%@729,0%@729,0%@729,15%@2201,100%@2201,7%@2201,0%@2201,8%@729,7%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.093C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.218C CV1@-256C GPU@46.343C tj@51.093C SOC1@47.468C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2559mW VIN_SYS_5V0 4636mW/4686mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1035mW NC 0mW/0mW
04-21-2025 12:28:59 RAM 4132/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,7%@729,0%@729,15%@2201,100%@2201,0%@2201,0%@2201,15%@729,7%@729,15%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.75C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46C tj@50.75C SOC1@47.656C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2550mW VIN_SYS_5V0 4737mW/4689mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1039mW NC 0mW/0mW
04-21-2025 12:28:59 RAM 4138/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [11%@729,0%@729,0%@729,5%@729,16%@2201,100%@2201,0%@2201,0%@2201,11%@729,0%@729,5%@729,5%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.875C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.468C tj@50.875C SOC1@47.718C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2541mW VIN_SYS_5V0 4737mW/4691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1043mW NC 0mW/0mW
04-21-2025 12:28:59 RAM 4148/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,0%@729,6%@729,18%@2201,100%@2201,6%@2201,0%@2201,7%@729,13%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.406C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.312C tj@51.406C SOC1@47.531C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2534mW VIN_SYS_5V0 4737mW/4693mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1041mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4149/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,0%@729,7%@729,7%@729,7%@2201,100%@2201,0%@2201,0%@2201,14%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.968C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.218C CV1@-256C GPU@46.375C tj@51.218C SOC1@47.843C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2527mW VIN_SYS_5V0 4636mW/4691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1039mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4180/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,0%@729,6%@1066,14%@2201,100%@2201,0%@2201,0%@2201,7%@729,0%@729,7%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.062C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.187C tj@51.062C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2520mW VIN_SYS_5V0 4737mW/4693mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1038mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4182/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,0%@729,20%@729,7%@729,7%@2201,100%@2201,0%@2201,0%@2201,15%@729,0%@729,7%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.25C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.375C tj@51C SOC1@47.593C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2515mW VIN_SYS_5V0 4737mW/4694mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1037mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4186/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,7%@729,0%@729,7%@729,15%@2201,100%@2201,0%@2338,0%@2201,21%@729,0%@729,7%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.5C CV1@-256C GPU@46.031C tj@50.781C SOC1@47.687C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2509mW VIN_SYS_5V0 4737mW/4696mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1036mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4186/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,0%@729,7%@729,7%@729,14%@2201,100%@2201,0%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.656C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.156C tj@51.062C SOC1@47.437C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2505mW VIN_SYS_5V0 4737mW/4698mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1038mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4199/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,7%@729,7%@729,0%@729,8%@2201,100%@2201,0%@2201,0%@2201,15%@729,7%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.906C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.312C tj@51.343C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2500mW VIN_SYS_5V0 4737mW/4699mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1041mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4208/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,14%@729,7%@729,15%@2201,100%@2201,0%@2201,0%@2201,15%@729,7%@729,7%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.031C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.187C CV1@-256C GPU@46.187C tj@51.031C SOC1@47.843C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2496mW VIN_SYS_5V0 4737mW/4700mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1043mW NC 0mW/0mW
04-21-2025 12:29:00 RAM 4215/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,12%@729,0%@729,0%@729,13%@729,57%@729,0%@729,0%@729,26%@2201,0%@2201,0%@2201,28%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.031C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.468C CV1@-256C GPU@46.25C tj@50.5C SOC1@47.593C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2492mW VIN_SYS_5V0 4737mW/4702mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1042mW NC 0mW/0mW
04-21-2025 12:29:01 RAM 4219/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,0%@729,6%@729,7%@729,0%@729,0%@729,0%@729,13%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.875C Tboard@38C SOC2@46.125C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.437C tj@50.406C SOC1@47.625C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2488mW VIN_SYS_5V0 4636mW/4699mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1041mW NC 0mW/0mW
04-21-2025 12:29:01 RAM 4227/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,0%@729,0%@729,7%@729,6%@729,0%@729,0%@729,7%@2201,6%@2201,0%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.218C CV1@-256C GPU@45.875C tj@50.812C SOC1@47.562C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2485mW VIN_SYS_5V0 4636mW/4697mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1040mW NC 0mW/0mW
04-21-2025 12:29:01 RAM 4226/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [22%@729,0%@729,5%@729,0%@729,22%@729,5%@729,5%@729,0%@729,17%@2201,5%@2201,0%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.062C tj@50.687C SOC1@47.5C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2382mW/2482mW VIN_SYS_5V0 4737mW/4699mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1042mW NC 0mW/0mW
04-21-2025 12:29:01 RAM 4227/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [13%@729,6%@729,0%@729,0%@729,6%@729,6%@729,0%@729,6%@729,17%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.312C Tboard@38C SOC2@46.156C Tdiode@40C SOC0@47.531C CV1@-256C GPU@46.468C tj@50.531C SOC1@47.625C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2479mW VIN_SYS_5V0 4737mW/4700mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1044mW NC 0mW/0mW
04-21-2025 12:29:01 RAM 4243/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,0%@729,0%@729,13%@729,0%@729,7%@729,0%@729,7%@2201,0%@2201,6%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.312C CV1@-256C GPU@46.218C tj@50.437C SOC1@47.656C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2476mW VIN_SYS_5V0 4737mW/4701mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1046mW NC 0mW/0mW
04-21-2025 12:29:01 RAM 4255/30587MB (lfb 11x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,0%@729,23%@729,0%@729,7%@729,0%@729,16%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.437C tj@50.468C SOC1@47.593C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2473mW VIN_SYS_5V0 4737mW/4702mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1048mW NC 0mW/0mW
