04-10-2025 21:51:15 RAM 4303/30587MB (lfb 312x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@2201,6%@2201,11%@2201,87%@2201,6%@2035,7%@2035,6%@2035,6%@2035,6%@729,6%@729,14%@729,6%@729] EMC_FREQ 0% GR3D_FREQ 22% CV0@-256C CPU@50.593C Tboard@38C SOC2@46.5C Tdiode@40.25C SOC0@47.625C CV1@-256C GPU@46.687C tj@50.593C SOC1@47.906C CV2@-256C
04-10-2025 21:51:49 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,67%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 60% CV0@-256C CPU@51.406C Tboard@38C SOC2@46.937C Tdiode@40.75C SOC0@48C CV1@-256C GPU@47.125C tj@51.406C SOC1@48.093C CV2@-256C
04-10-2025 21:51:50 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,67%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 41% CV0@-256C CPU@51.25C Tboard@38C SOC2@46.937C Tdiode@40.75C SOC0@48C CV1@-256C GPU@47.187C tj@50.843C SOC1@48.093C CV2@-256C
04-10-2025 21:51:51 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,53%@2201,15%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 47% CV0@-256C CPU@50.812C Tboard@38C SOC2@47.125C Tdiode@40.75C SOC0@48C CV1@-256C GPU@46.968C tj@50.812C SOC1@48.125C CV2@-256C
04-10-2025 21:51:52 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,64%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 45% CV0@-256C CPU@50.968C Tboard@38C SOC2@46.906C Tdiode@40.75C SOC0@48.031C CV1@-256C GPU@46.906C tj@50.968C SOC1@48.187C CV2@-256C
04-10-2025 21:51:53 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,66%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 49% CV0@-256C CPU@50.875C Tboard@38C SOC2@46.906C Tdiode@40.75C SOC0@48.218C CV1@-256C GPU@46.968C tj@51.093C SOC1@48.281C CV2@-256C
04-10-2025 21:51:54 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,66%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 62% CV0@-256C CPU@50.937C Tboard@38C SOC2@46.937C Tdiode@40.75C SOC0@48.031C CV1@-256C GPU@47C tj@50.937C SOC1@48.437C CV2@-256C
04-10-2025 21:51:55 RAM 4888/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,66%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 62% CV0@-256C CPU@51.218C Tboard@38C SOC2@47C Tdiode@40.75C SOC0@47.906C CV1@-256C GPU@47.281C tj@51.218C SOC1@48.125C CV2@-256C
04-10-2025 21:51:56 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,66%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 58% CV0@-256C CPU@50.875C Tboard@38C SOC2@47C Tdiode@40.75C SOC0@48.156C CV1@-256C GPU@47.187C tj@50.875C SOC1@48.218C CV2@-256C
04-10-2025 21:51:57 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,65%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 35% CV0@-256C CPU@51.343C Tboard@38C SOC2@46.937C Tdiode@40.75C SOC0@48.093C CV1@-256C GPU@47.406C tj@51C SOC1@48.187C CV2@-256C
04-10-2025 21:51:58 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,64%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 70% CV0@-256C CPU@50.875C Tboard@38C SOC2@46.968C Tdiode@40.75C SOC0@48.156C CV1@-256C GPU@47.25C tj@50.875C SOC1@48.25C CV2@-256C
04-10-2025 21:51:59 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 59% CV0@-256C CPU@51.031C Tboard@38C SOC2@46.937C Tdiode@40.75C SOC0@48.187C CV1@-256C GPU@47.312C tj@51.031C SOC1@48.437C CV2@-256C
04-10-2025 21:52:00 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 56% CV0@-256C CPU@50.843C Tboard@38C SOC2@46.906C Tdiode@40.5C SOC0@48.031C CV1@-256C GPU@47.125C tj@51.187C SOC1@48.281C CV2@-256C
04-10-2025 21:52:01 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 69% CV0@-256C CPU@50.937C Tboard@39C SOC2@46.875C Tdiode@40.75C SOC0@48C CV1@-256C GPU@47.062C tj@50.937C SOC1@48.218C CV2@-256C
04-10-2025 21:52:02 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 59% CV0@-256C CPU@51.312C Tboard@39C SOC2@47C Tdiode@40.75C SOC0@48.062C CV1@-256C GPU@47.343C tj@51.312C SOC1@48.218C CV2@-256C
04-10-2025 21:52:03 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 31% CV0@-256C CPU@50.906C Tboard@39C SOC2@47.093C Tdiode@40.75C SOC0@48.218C CV1@-256C GPU@47.375C tj@50.906C SOC1@48.25C CV2@-256C
04-10-2025 21:52:04 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 14% CV0@-256C CPU@51.5C Tboard@39C SOC2@46.937C Tdiode@40.75C SOC0@48.187C CV1@-256C GPU@47.531C tj@51.062C SOC1@48.343C CV2@-256C
04-10-2025 21:52:05 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,1%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 75% CV0@-256C CPU@50.937C Tboard@39C SOC2@46.906C Tdiode@40.75C SOC0@48.218C CV1@-256C GPU@47.218C tj@51.187C SOC1@48.312C CV2@-256C
04-10-2025 21:52:06 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,62%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 56% CV0@-256C CPU@51.062C Tboard@39C SOC2@46.968C Tdiode@40.75C SOC0@48.343C CV1@-256C GPU@47.218C tj@51.062C SOC1@48.468C CV2@-256C
04-10-2025 21:52:07 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 13% CV0@-256C CPU@51.062C Tboard@39C SOC2@47C Tdiode@40.75C SOC0@47.937C CV1@-256C GPU@47.343C tj@51.187C SOC1@48.218C CV2@-256C
04-10-2025 21:52:08 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [1%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 72% CV0@-256C CPU@51.125C Tboard@39C SOC2@47.031C Tdiode@40.75C SOC0@48C CV1@-256C GPU@47.343C tj@51.125C SOC1@48.562C CV2@-256C
04-10-2025 21:52:09 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 22% CV0@-256C CPU@51.5C Tboard@39C SOC2@47C Tdiode@40.75C SOC0@48.125C CV1@-256C GPU@47.281C tj@51.5C SOC1@48.156C CV2@-256C
04-10-2025 21:52:10 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,62%@2201,2%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 42% CV0@-256C CPU@51.125C Tboard@39C SOC2@47.093C Tdiode@40.75C SOC0@48.093C CV1@-256C GPU@47.281C tj@51C SOC1@48.218C CV2@-256C
04-10-2025 21:52:11 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,60%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 76% CV0@-256C CPU@50.875C Tboard@39C SOC2@46.906C Tdiode@40.75C SOC0@48.156C CV1@-256C GPU@47.468C tj@50.875C SOC1@48.281C CV2@-256C
04-10-2025 21:52:12 RAM 4887/30587MB (lfb 310x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,61%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 32% CV0@-256C CPU@51.031C Tboard@39C SOC2@46.968C Tdiode@40.75C SOC0@48.218C CV1@-256C GPU@47.343C tj@51.031C SOC1@48.312C CV2@-256C
