04-21-2025 12:21:04 RAM 4295/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,13%@2201,14%@2201,100%@2201,31%@729,20%@729,25%@729,14%@729,21%@729,20%@729,20%@729,25%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.187C Tboard@37C SOC2@45.656C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.593C tj@49.937C SOC1@46.937C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4737mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1108mW NC 0mW/0mW
04-21-2025 12:21:05 RAM 4443/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,13%@729,0%@729,0%@729,0%@729,7%@729,0%@729,6%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@37C SOC2@45.75C Tdiode@39.5C SOC0@46.625C CV1@-256C GPU@45.781C tj@49.812C SOC1@47.031C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2647mW VIN_SYS_5V0 4636mW/4678mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1041mW NC 0mW/0mW
04-21-2025 12:21:05 RAM 4442/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,6%@2372,7%@2201,100%@2201,14%@729,0%@729,0%@729,7%@729,14%@729,0%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.781C Tboard@37C SOC2@45.718C Tdiode@39.25C SOC0@46.781C CV1@-256C GPU@45.468C tj@50.125C SOC1@47.093C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2627mW VIN_SYS_5V0 4737mW/4682mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1046mW NC 0mW/0mW
04-21-2025 12:21:05 RAM 4450/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2017,100%@2201,14%@729,6%@729,6%@729,6%@729,7%@729,0%@729,6%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.093C Tboard@37C SOC2@45.781C Tdiode@39.25C SOC0@46.781C CV1@-256C GPU@45.687C tj@49.843C SOC1@47.031C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2610mW VIN_SYS_5V0 4737mW/4686mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1043mW NC 0mW/0mW
04-21-2025 12:21:06 RAM 4452/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,0%@2201,100%@2201,7%@729,0%@729,0%@729,0%@729,13%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.093C Tboard@37C SOC2@45.687C Tdiode@39.5C SOC0@46.656C CV1@-256C GPU@45.593C tj@49.875C SOC1@46.968C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2594mW VIN_SYS_5V0 4636mW/4683mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1041mW NC 0mW/0mW
04-21-2025 12:21:06 RAM 4455/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,14%@729,0%@729,7%@729,0%@729,14%@729,0%@729,7%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.843C Tboard@37C SOC2@45.656C Tdiode@39.25C SOC0@46.812C CV1@-256C GPU@45.406C tj@50.187C SOC1@47C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2581mW VIN_SYS_5V0 4636mW/4680mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1039mW NC 0mW/0mW
04-21-2025 12:21:06 RAM 4460/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,0%@2201,100%@2201,7%@729,13%@729,0%@729,7%@729,7%@729,0%@729,6%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.031C Tboard@37C SOC2@45.718C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.531C tj@49.937C SOC1@46.875C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2569mW VIN_SYS_5V0 4636mW/4677mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1037mW NC 0mW/0mW
04-21-2025 12:21:06 RAM 4466/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [13%@2201,0%@2201,0%@2201,100%@2201,7%@729,0%@729,7%@729,0%@729,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.968C Tboard@37C SOC2@45.687C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.437C tj@49.843C SOC1@46.906C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2559mW VIN_SYS_5V0 4636mW/4675mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1035mW NC 0mW/0mW
04-21-2025 12:21:06 RAM 4467/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,14%@729,0%@729,0%@729,7%@729,7%@729,0%@729,7%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.75C Tboard@37C SOC2@45.593C Tdiode@39.25C SOC0@46.781C CV1@-256C GPU@45.531C tj@49.75C SOC1@47C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2550mW VIN_SYS_5V0 4737mW/4678mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1039mW NC 0mW/0mW
04-21-2025 12:21:06 RAM 4474/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,0%@2201,100%@2201,13%@729,0%@729,0%@729,6%@729,20%@729,6%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.781C Tboard@37C SOC2@45.75C Tdiode@39.5C SOC0@46.687C CV1@-256C GPU@45.812C tj@49.781C SOC1@47C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2541mW VIN_SYS_5V0 4737mW/4681mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1038mW NC 0mW/0mW
04-21-2025 12:21:06 RAM 4483/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,0%@729,12%@729,6%@729,6%@729,13%@729,6%@729,12%@729,6%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@37C SOC2@45.75C Tdiode@39.5C SOC0@46.656C CV1@-256C GPU@45.656C tj@50.468C SOC1@46.906C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2534mW VIN_SYS_5V0 4636mW/4679mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1036mW NC 0mW/0mW
04-21-2025 12:21:07 RAM 4486/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,13%@729,0%@729,6%@729,0%@729,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50C Tboard@37C SOC2@45.656C Tdiode@39.25C SOC0@46.718C CV1@-256C GPU@45.5C tj@50.437C SOC1@46.906C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2527mW VIN_SYS_5V0 4636mW/4677mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1035mW NC 0mW/0mW
04-21-2025 12:21:07 RAM 4513/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [6%@2201,0%@2201,0%@2201,100%@2201,6%@729,6%@729,0%@729,6%@729,6%@729,11%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.25C Tboard@37C SOC2@45.593C Tdiode@39.5C SOC0@46.656C CV1@-256C GPU@45.75C tj@50.25C SOC1@46.843C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2521mW VIN_SYS_5V0 4737mW/4679mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1034mW NC 0mW/0mW
04-21-2025 12:21:07 RAM 4519/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,7%@729,0%@729,7%@729,7%@729,14%@729,13%@729,13%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.343C Tboard@37C SOC2@45.656C Tdiode@39.5C SOC0@46.656C CV1@-256C GPU@45.625C tj@50.343C SOC1@46.906C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2515mW VIN_SYS_5V0 4737mW/4682mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1033mW NC 0mW/0mW
04-21-2025 12:21:07 RAM 4519/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,0%@2201,0%@2201,100%@2201,7%@729,0%@729,0%@729,0%@729,7%@729,7%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.843C Tboard@37C SOC2@45.656C Tdiode@39.5C SOC0@46.718C CV1@-256C GPU@45.781C tj@50.281C SOC1@47.25C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2510mW VIN_SYS_5V0 4737mW/4684mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1036mW NC 0mW/0mW
04-21-2025 12:21:07 RAM 4525/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,0%@2201,100%@2201,7%@729,7%@729,0%@729,0%@729,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.843C Tboard@37C SOC2@45.562C Tdiode@39.5C SOC0@46.843C CV1@-256C GPU@45.531C tj@49.843C SOC1@47.125C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2505mW VIN_SYS_5V0 4737mW/4686mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1038mW NC 0mW/0mW
04-21-2025 12:21:07 RAM 4536/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,14%@729,0%@729,7%@729,0%@729,14%@729,12%@729,6%@729,6%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.968C Tboard@37C SOC2@45.593C Tdiode@39.25C SOC0@46.875C CV1@-256C GPU@45.781C tj@49.968C SOC1@47.031C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2500mW VIN_SYS_5V0 4737mW/4688mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1041mW NC 0mW/0mW
04-21-2025 12:21:07 RAM 4545/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,0%@2201,0%@2201,100%@2201,15%@729,0%@729,0%@729,7%@729,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.562C Tboard@37C SOC2@45.718C Tdiode@39.25C SOC0@46.781C CV1@-256C GPU@45.531C tj@49.906C SOC1@46.937C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2496mW VIN_SYS_5V0 4737mW/4690mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1040mW NC 0mW/0mW
04-21-2025 12:21:08 RAM 4549/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,0%@2201,100%@2201,14%@729,7%@729,0%@729,7%@729,15%@729,7%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.5C Tboard@37C SOC2@45.687C Tdiode@39.25C SOC0@46.75C CV1@-256C GPU@45.843C tj@50.5C SOC1@47.062C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2492mW VIN_SYS_5V0 4737mW/4691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1039mW NC 0mW/0mW
04-21-2025 12:21:08 RAM 4553/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.5C Tboard@37C SOC2@45.781C Tdiode@39.25C SOC0@46.656C CV1@-256C GPU@45.843C tj@50.5C SOC1@46.906C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2488mW VIN_SYS_5V0 4636mW/4689mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1038mW NC 0mW/0mW
04-21-2025 12:21:08 RAM 4560/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,100%@2201,15%@729,7%@729,7%@729,0%@729,7%@729,7%@729,0%@729,14%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@37C SOC2@45.625C Tdiode@39.5C SOC0@46.656C CV1@-256C GPU@45.468C tj@50.125C SOC1@46.937C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2485mW VIN_SYS_5V0 4636mW/4688mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1037mW NC 0mW/0mW
04-21-2025 12:21:08 RAM 4562/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@2201,0%@2201,7%@2201,100%@2201,14%@729,0%@729,7%@729,0%@729,15%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50C Tboard@37C SOC2@45.687C Tdiode@39.5C SOC0@46.656C CV1@-256C GPU@45.906C tj@50C SOC1@47.187C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2482mW VIN_SYS_5V0 4737mW/4689mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1039mW NC 0mW/0mW
04-21-2025 12:21:08 RAM 4561/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,6%@2201,100%@2201,14%@729,0%@729,0%@729,7%@729,18%@729,7%@729,6%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.718C Tboard@37C SOC2@45.562C Tdiode@39.25C SOC0@46.875C CV1@-256C GPU@45.75C tj@49.937C SOC1@47.031C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2479mW VIN_SYS_5V0 4737mW/4691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1041mW NC 0mW/0mW
04-21-2025 12:21:08 RAM 4564/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,7%@729,0%@729,7%@729,0%@729,0%@729,7%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.843C Tboard@37C SOC2@45.718C Tdiode@39.25C SOC0@46.812C CV1@-256C GPU@45.937C tj@50.031C SOC1@47.031C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2476mW VIN_SYS_5V0 4737mW/4692mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1043mW NC 0mW/0mW
04-21-2025 12:21:08 RAM 4590/30587MB (lfb 97x4MB) SWAP 31/15294MB (cached 0MB) CPU [18%@2201,0%@2201,0%@2201,100%@2201,13%@729,0%@729,6%@729,6%@729,20%@729,12%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.843C Tboard@37C SOC2@45.75C Tdiode@39.25C SOC0@46.875C CV1@-256C GPU@45.5C tj@50.062C SOC1@47.093C CV2@-256C VDD_GPU_SOC 2780mW/2780mW VDD_CPU_CV 2383mW/2473mW VIN_SYS_5V0 4737mW/4693mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1045mW NC 0mW/0mW
