04-21-2025 12:18:30 RAM 4271/30587MB (lfb 95x4MB) SWAP 31/15294MB (cached 0MB) CPU [46%@1267,38%@1267,38%@1267,38%@1267,41%@2035,33%@2035,38%@2035,69%@2035,41%@2201,53%@2201,100%@2201,38%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 0%@407 GR3D2_FREQ 0%@407 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.031C Tdiode@39.5C SOC0@46.937C CV1@-256C GPU@45.75C tj@50.781C SOC1@47.218C CV2@-256C VDD_GPU_SOC 3178mW/3178mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:18:32 RAM 4971/30587MB (lfb 42x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@1961,0%@729,0%@729,0%@729,7%@729,0%@729,7%@729,14%@2372,0%@2201,78%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 15%@305 GR3D2_FREQ 15%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50C Tboard@38C SOC2@45.906C Tdiode@39.5C SOC0@47.125C CV1@-256C GPU@46.125C tj@50.218C SOC1@47.437C CV2@-256C VDD_GPU_SOC 2780mW/2979mW VDD_CPU_CV 2383mW/2416mW VIN_SYS_5V0 4838mW/4804mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1099mW NC 0mW/0mW
04-21-2025 12:18:32 RAM 5057/30587MB (lfb 29x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,7%@729,0%@729,0%@729,7%@729,0%@729,6%@729,6%@729,7%@2201,0%@2201,80%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 40%@305 GR3D2_FREQ 15%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.937C Tboard@38C SOC2@45.843C Tdiode@39.5C SOC0@47.093C CV1@-256C GPU@46.218C tj@49.937C SOC1@47.343C CV2@-256C VDD_GPU_SOC 2780mW/2963mW VDD_CPU_CV 2383mW/2413mW VIN_SYS_5V0 4838mW/4806mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1100mW NC 0mW/0mW
04-21-2025 12:18:32 RAM 5142/30587MB (lfb 13x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,7%@2201,0%@2201,0%@1352,7%@729,7%@729,0%@729,0%@729,7%@2201,0%@2201,80%@2201,0%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 35%@305 GR3D2_FREQ 35%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@46C Tdiode@39.5C SOC0@46.906C CV1@-256C GPU@46.062C tj@49.937C SOC1@47.156C CV2@-256C VDD_GPU_SOC 2780mW/2950mW VDD_CPU_CV 2383mW/2411mW VIN_SYS_5V0 4838mW/4809mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1100mW NC 0mW/0mW
04-21-2025 12:18:32 RAM 5221/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,6%@729,0%@729,14%@729,0%@729,7%@729,0%@729,7%@2328,0%@2201,87%@2201,0%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.843C Tdiode@39.5C SOC0@47.156C CV1@-256C GPU@45.875C tj@50.093C SOC1@47.281C CV2@-256C VDD_GPU_SOC 2780mW/2939mW VDD_CPU_CV 2383mW/2409mW VIN_SYS_5V0 4838mW/4811mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1101mW NC 0mW/0mW
04-21-2025 12:18:32 RAM 5227/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,0%@729,0%@729,0%@729,0%@729,6%@729,7%@729,7%@729,13%@2201,0%@2201,100%@2201,0%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.937C Tdiode@39.5C SOC0@46.968C CV1@-256C GPU@46.156C tj@49.906C SOC1@47.125C CV2@-256C VDD_GPU_SOC 2780mW/2929mW VDD_CPU_CV 2383mW/2407mW VIN_SYS_5V0 4737mW/4806mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1101mW NC 0mW/0mW
04-21-2025 12:18:32 RAM 5229/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [13%@2201,0%@729,0%@729,0%@729,7%@729,7%@729,0%@729,6%@729,7%@2201,0%@2201,100%@2201,0%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@45.906C Tdiode@39.75C SOC0@46.875C CV1@-256C GPU@45.812C tj@50.125C SOC1@47.406C CV2@-256C VDD_GPU_SOC 2780mW/2920mW VDD_CPU_CV 2383mW/2406mW VIN_SYS_5V0 4636mW/4796mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1096mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5230/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@729,0%@729,18%@729,11%@729,6%@729,0%@729,7%@2201,0%@2201,100%@2201,6%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@305 GR3D2_FREQ 0%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.031C Tdiode@39.75C SOC0@47.125C CV1@-256C GPU@46.031C tj@50.125C SOC1@47.25C CV2@-256C VDD_GPU_SOC 2780mW/2912mW VDD_CPU_CV 2383mW/2405mW VIN_SYS_5V0 4636mW/4787mW NC 0mW/0mW VDDQ_VDD2_1V8AO 907mW/1085mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5263/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [18%@729,0%@729,7%@729,0%@2201,0%@729,0%@729,0%@729,0%@729,18%@2201,0%@2201,66%@2201,0%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 38%@305 GR3D2_FREQ 38%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.062C Tdiode@39.5C SOC0@47.031C CV1@-256C GPU@46.25C tj@50.531C SOC1@47.187C CV2@-256C VDD_GPU_SOC 2780mW/2905mW VDD_CPU_CV 2383mW/2403mW VIN_SYS_5V0 4636mW/4779mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1081mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5264/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [0%@998,7%@729,7%@729,0%@729,7%@729,0%@729,7%@729,7%@729,7%@2201,0%@2201,57%@2201,0%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 82%@305 GR3D2_FREQ 82%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46C Tdiode@39.5C SOC0@47.031C CV1@-256C GPU@46.218C tj@50.593C SOC1@47.281C CV2@-256C VDD_GPU_SOC 3178mW/2919mW VDD_CPU_CV 1986mW/2383mW VIN_SYS_5V0 4737mW/4777mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1083mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5266/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,0%@729,6%@729,0%@729,17%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,57%@2201,6%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 22%@305 GR3D2_FREQ 22%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.156C Tdiode@39.5C SOC0@47.125C CV1@-256C GPU@46.125C tj@50C SOC1@47.281C CV2@-256C VDD_GPU_SOC 3575mW/2950mW VDD_CPU_CV 1986mW/2364mW VIN_SYS_5V0 4838mW/4780mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1084mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5263/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,0%@729,8%@729,7%@729,0%@729,7%@729,7%@2201,0%@2201,53%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 73%@305 GR3D2_FREQ 73%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.062C Tdiode@39.5C SOC0@47.125C CV1@-256C GPU@45.875C tj@50.093C SOC1@47.25C CV2@-256C VDD_GPU_SOC 3575mW/2978mW VDD_CPU_CV 1986mW/2346mW VIN_SYS_5V0 4939mW/4787mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1089mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5263/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,0%@729,0%@729,14%@729,7%@729,0%@729,7%@729,7%@2201,0%@2201,58%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 30%@305 GR3D2_FREQ 30%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.125C Tdiode@39.75C SOC0@47.093C CV1@-256C GPU@46.343C tj@50.531C SOC1@47.281C CV2@-256C VDD_GPU_SOC 3972mW/3022mW VDD_CPU_CV 1985mW/2331mW VIN_SYS_5V0 4939mW/4794mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1095mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5263/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,0%@729,14%@729,0%@729,15%@729,7%@729,7%@729,7%@729,0%@2201,0%@2201,57%@2201,0%@2201] EMC_FREQ 3%@2133 GR3D_FREQ 61%@305 GR3D2_FREQ 39%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.5C Tboard@38C SOC2@46.031C Tdiode@39.75C SOC0@46.968C CV1@-256C GPU@45.875C tj@50.5C SOC1@47.156C CV2@-256C VDD_GPU_SOC 3972mW/3061mW VDD_CPU_CV 1985mW/2316mW VIN_SYS_5V0 4939mW/4800mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1099mW NC 0mW/0mW
04-21-2025 12:18:33 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@729,0%@729,14%@729,7%@729,0%@729,0%@729,7%@2201,0%@2201,50%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 46%@305 GR3D2_FREQ 54%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.437C Tboard@38C SOC2@46.062C Tdiode@39.75C SOC0@47.093C CV1@-256C GPU@46.062C tj@50.437C SOC1@47.156C CV2@-256C VDD_GPU_SOC 3972mW/3098mW VDD_CPU_CV 1986mW/2303mW VIN_SYS_5V0 5040mW/4809mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1104mW NC 0mW/0mW
04-21-2025 12:18:34 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@962,0%@729,0%@729,0%@729,8%@729,0%@729,8%@729,14%@729,15%@2201,0%@2201,61%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 64%@305 GR3D2_FREQ 64%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.062C Tboard@38C SOC2@45.937C Tdiode@39.75C SOC0@47C CV1@-256C GPU@45.906C tj@50.062C SOC1@47.218C CV2@-256C VDD_GPU_SOC 3972mW/3131mW VDD_CPU_CV 1986mW/2291mW VIN_SYS_5V0 5040mW/4818mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1108mW NC 0mW/0mW
04-21-2025 12:18:34 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,7%@729,0%@729,7%@729,7%@729,7%@729,0%@729,14%@2201,0%@2201,57%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 21%@305 GR3D2_FREQ 79%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.875C Tboard@38C SOC2@46.031C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@46C tj@49.875C SOC1@47.156C CV2@-256C VDD_GPU_SOC 3972mW/3162mW VDD_CPU_CV 1986mW/2280mW VIN_SYS_5V0 5040mW/4826mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1111mW NC 0mW/0mW
04-21-2025 12:18:34 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,8%@729,0%@729,14%@729,0%@729,0%@729,7%@729,8%@2201,0%@2201,53%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 12%@305 GR3D2_FREQ 12%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.093C Tboard@38C SOC2@45.968C Tdiode@39.75C SOC0@46.968C CV1@-256C GPU@46.437C tj@50.093C SOC1@47.531C CV2@-256C VDD_GPU_SOC 3972mW/3191mW VDD_CPU_CV 1986mW/2269mW VIN_SYS_5V0 5040mW/4834mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1119mW NC 0mW/0mW
04-21-2025 12:18:34 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@1736,7%@2201,7%@729,7%@729,7%@729,7%@729,7%@729,0%@729,7%@2201,0%@2201,58%@2201,0%@2201] EMC_FREQ 4%@2133 GR3D_FREQ 95%@305 GR3D2_FREQ 95%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.031C Tboard@38C SOC2@45.968C Tdiode@39.75C SOC0@47.062C CV1@-256C GPU@46.343C tj@50.031C SOC1@47.25C CV2@-256C VDD_GPU_SOC 3972mW/3218mW VDD_CPU_CV 1986mW/2259mW VIN_SYS_5V0 5040mW/4841mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1125mW NC 0mW/0mW
04-21-2025 12:18:34 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,7%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,58%@2201,0%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 85%@305 GR3D2_FREQ 85%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50C Tboard@38C SOC2@45.937C Tdiode@39.75C SOC0@47.218C CV1@-256C GPU@46.187C tj@50.125C SOC1@47.343C CV2@-256C VDD_GPU_SOC 3972mW/3243mW VDD_CPU_CV 1986mW/2250mW VIN_SYS_5V0 5040mW/4848mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1131mW NC 0mW/0mW
04-21-2025 12:18:34 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@729,0%@729,0%@729,0%@729,8%@729,0%@729,7%@729,0%@729,15%@2201,0%@2201,53%@2201,0%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 30%@305 GR3D2_FREQ 30%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@49.937C Tboard@38C SOC2@46.062C Tdiode@39.75C SOC0@47.093C CV1@-256C GPU@45.875C tj@49.937C SOC1@47.187C CV2@-256C VDD_GPU_SOC 3972mW/3267mW VDD_CPU_CV 1589mW/2229mW VIN_SYS_5V0 5040mW/4854mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1137mW NC 0mW/0mW
04-21-2025 12:18:34 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,20%@729,0%@729,14%@729,7%@729,0%@729,0%@729,0%@2201,0%@2201,50%@2201,0%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 61%@305 GR3D2_FREQ 61%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.125C Tboard@38C SOC2@46.062C Tdiode@39.75C SOC0@47C CV1@-256C GPU@46.625C tj@50.125C SOC1@47.125C CV2@-256C VDD_GPU_SOC 3972mW/3289mW VDD_CPU_CV 1589mW/2209mW VIN_SYS_5V0 5040mW/4860mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1142mW NC 0mW/0mW
04-21-2025 12:18:35 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,7%@2201,7%@1842,7%@729,7%@729,13%@729,7%@729,7%@2201,0%@2201,57%@2201,0%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 47%@305 GR3D2_FREQ 47%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.093C Tboard@38C SOC2@46C Tdiode@39.75C SOC0@47.187C CV1@-256C GPU@46.062C tj@50.125C SOC1@47.343C CV2@-256C VDD_GPU_SOC 3972mW/3309mW VDD_CPU_CV 1589mW/2190mW VIN_SYS_5V0 5040mW/4865mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1147mW NC 0mW/0mW
04-21-2025 12:18:35 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,7%@729,13%@729,14%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,61%@2201,0%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 62%@305 GR3D2_FREQ 62%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.031C Tboard@38C SOC2@45.906C Tdiode@39.75C SOC0@47.125C CV1@-256C GPU@46.218C tj@50.031C SOC1@47.312C CV2@-256C VDD_GPU_SOC 3972mW/3329mW VDD_CPU_CV 1986mW/2184mW VIN_SYS_5V0 5040mW/4870mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1152mW NC 0mW/0mW
04-21-2025 12:18:35 RAM 5262/30587MB (lfb 6x4MB) SWAP 31/15294MB (cached 0MB) CPU [7%@729,0%@729,7%@729,0%@729,7%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,57%@2201,0%@2201] EMC_FREQ 5%@2133 GR3D_FREQ 71%@305 GR3D2_FREQ 71%@305 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.218C Tboard@38C SOC2@46.031C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@46.093C tj@49.875C SOC1@47.187C CV2@-256C VDD_GPU_SOC 3972mW/3347mW VDD_CPU_CV 1986mW/2178mW VIN_SYS_5V0 5040mW/4875mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1157mW NC 0mW/0mW
