04-21-2025 12:34:35 RAM 3899/30587MB (lfb 17x4MB) SWAP 31/15294MB (cached 0MB) CPU [40%@1651,28%@1651,21%@1651,7%@1651,40%@2201,33%@2201,100%@2201,53%@2201,35%@1036,35%@1036,35%@1113,42%@1036] EMC_FREQ 6%@2133 GR3D_FREQ 0%@509 GR3D2_FREQ 0%@509 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.25C Tdiode@39.75C SOC0@47.156C CV1@-256C GPU@46C tj@50.781C SOC1@47.343C CV2@-256C VDD_GPU_SOC 3575mW/3575mW VDD_CPU_CV 2780mW/2780mW VIN_SYS_5V0 4939mW/4939mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1209mW NC 0mW/0mW
04-21-2025 12:34:36 RAM 4742/30587MB (lfb 54x1MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,7%@729,14%@2201,0%@2201,83%@2201,0%@2057,7%@729,6%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 17%@713 GR3D2_FREQ 17%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46C Tdiode@39.75C SOC0@47.281C CV1@-256C GPU@46.468C tj@50.593C SOC1@47.531C CV2@-256C VDD_GPU_SOC 3178mW/3211mW VDD_CPU_CV 2780mW/2647mW VIN_SYS_5V0 5040mW/4913mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1183mW NC 0mW/0mW
04-21-2025 12:34:37 RAM 4817/30587MB (lfb 53x1MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,7%@729,0%@729,0%@729,8%@2201,0%@2201,92%@2201,7%@2201,15%@729,7%@729,0%@729,7%@729] EMC_FREQ 3%@2133 GR3D_FREQ 0%@713 GR3D2_FREQ 0%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.562C Tboard@38C SOC2@46.093C Tdiode@39.75C SOC0@47C CV1@-256C GPU@45.937C tj@51.125C SOC1@47.312C CV2@-256C VDD_GPU_SOC 3178mW/3208mW VDD_CPU_CV 2780mW/2657mW VIN_SYS_5V0 4939mW/4915mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1185mW NC 0mW/0mW
04-21-2025 12:34:37 RAM 4833/30587MB (lfb 9x2MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,6%@729,0%@729,0%@729,7%@2201,0%@2078,100%@2201,6%@2084,20%@729,0%@729,7%@729,7%@729] EMC_FREQ 3%@2133 GR3D_FREQ 0%@713 GR3D2_FREQ 0%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@51.093C Tboard@38C SOC2@46.062C Tdiode@39.75C SOC0@47.281C CV1@-256C GPU@46C tj@50.593C SOC1@47.5C CV2@-256C VDD_GPU_SOC 3178mW/3206mW VDD_CPU_CV 2383mW/2638mW VIN_SYS_5V0 4939mW/4917mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1187mW NC 0mW/0mW
04-21-2025 12:34:37 RAM 4836/30587MB (lfb 9x2MB) SWAP 31/15294MB (cached 0MB) CPU [25%@2201,6%@1019,12%@1710,0%@962,25%@2201,0%@2201,100%@2201,0%@2201,0%@729,6%@729,6%@729,0%@729] EMC_FREQ 3%@2133 GR3D_FREQ 0%@713 GR3D2_FREQ 0%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.062C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@45.875C tj@50.968C SOC1@47.312C CV2@-256C VDD_GPU_SOC 3178mW/3204mW VDD_CPU_CV 2383mW/2621mW VIN_SYS_5V0 4737mW/4905mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1182mW NC 0mW/0mW
04-21-2025 12:34:37 RAM 4838/30587MB (lfb 9x2MB) SWAP 31/15294MB (cached 0MB) CPU [0%@2201,14%@2201,7%@2201,6%@2201,13%@2201,0%@2201,100%@2201,0%@2201,20%@729,7%@729,0%@729,6%@729] EMC_FREQ 3%@2133 GR3D_FREQ 0%@713 GR3D2_FREQ 0%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.093C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@46.156C tj@51.093C SOC1@47.562C CV2@-256C VDD_GPU_SOC 3178mW/3202mW VDD_CPU_CV 2780mW/2631mW VIN_SYS_5V0 4636mW/4888mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1008mW/1171mW NC 0mW/0mW
04-21-2025 12:34:37 RAM 4864/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,30%@2201,0%@2201,0%@2200,15%@2201,0%@2201,85%@2201,0%@2201,14%@729,7%@729,0%@729,7%@729] EMC_FREQ 3%@2133 GR3D_FREQ 32%@713 GR3D2_FREQ 32%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.062C Tdiode@39.75C SOC0@47.031C CV1@-256C GPU@46.156C tj@50.875C SOC1@47.281C CV2@-256C VDD_GPU_SOC 3178mW/3201mW VDD_CPU_CV 2779mW/2639mW VIN_SYS_5V0 4737mW/4879mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1108mW/1167mW NC 0mW/0mW
04-21-2025 12:34:37 RAM 4861/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,6%@729,14%@729,7%@729,7%@2201,0%@2201,66%@2201,0%@2201,15%@729,7%@729,20%@729,7%@729] EMC_FREQ 3%@2133 GR3D_FREQ 45%@713 GR3D2_FREQ 45%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.906C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.187C CV1@-256C GPU@46.593C tj@50.343C SOC1@47.343C CV2@-256C VDD_GPU_SOC 4368mW/3266mW VDD_CPU_CV 2382mW/2625mW VIN_SYS_5V0 4939mW/4882mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1209mW/1169mW NC 0mW/0mW
04-21-2025 12:34:37 RAM 4863/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,8%@2201,0%@2201,71%@2201,0%@2201,15%@729,7%@729,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 45%@713 GR3D2_FREQ 45%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.812C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.218C CV1@-256C GPU@46.781C tj@50.468C SOC1@47.437C CV2@-256C VDD_GPU_SOC 4765mW/3345mW VDD_CPU_CV 2382mW/2612mW VIN_SYS_5V0 5040mW/4891mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1177mW NC 0mW/0mW
04-21-2025 12:34:38 RAM 4861/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [23%@729,0%@729,14%@729,7%@729,15%@2201,0%@2201,69%@2201,0%@2201,15%@729,0%@729,7%@729,7%@729] EMC_FREQ 5%@2133 GR3D_FREQ 45%@713 GR3D2_FREQ 45%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.812C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.156C CV1@-256C GPU@46.75C tj@50.812C SOC1@47.218C CV2@-256C VDD_GPU_SOC 5162mW/3435mW VDD_CPU_CV 2382mW/2601mW VIN_SYS_5V0 5140mW/4903mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1183mW NC 0mW/0mW
04-21-2025 12:34:38 RAM 4861/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@729,0%@729,8%@729,0%@729,8%@2201,7%@2201,66%@2201,0%@2201,8%@729,0%@729,7%@729,0%@729] EMC_FREQ 5%@2133 GR3D_FREQ 45%@713 GR3D2_FREQ 45%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.531C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.125C CV1@-256C GPU@46.281C tj@50.531C SOC1@47.437C CV2@-256C VDD_GPU_SOC 5561mW/3537mW VDD_CPU_CV 1985mW/2571mW VIN_SYS_5V0 5241mW/4919mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1310mW/1189mW NC 0mW/0mW
04-21-2025 12:34:38 RAM 4861/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@729,0%@729,0%@729,0%@729,16%@2201,0%@2201,61%@2201,0%@2201,23%@729,7%@729,0%@729,20%@729] EMC_FREQ 6%@2133 GR3D_FREQ 44%@709 GR3D2_FREQ 44%@708 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.5C Tboard@38C SOC2@46.187C Tdiode@40C SOC0@47.437C CV1@-256C GPU@46.937C tj@50.5C SOC1@47.562C CV2@-256C VDD_GPU_SOC 5959mW/3647mW VDD_CPU_CV 1986mW/2545mW VIN_SYS_5V0 5241mW/4934mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1411mW/1199mW NC 0mW/0mW
04-21-2025 12:34:38 RAM 4861/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@729,0%@729,0%@729,0%@729,14%@2201,0%@2201,64%@2201,0%@2201,14%@729,7%@729,14%@729,7%@729] EMC_FREQ 6%@2133 GR3D_FREQ 44%@713 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.375C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.25C CV1@-256C GPU@46.625C tj@50.375C SOC1@47.312C CV2@-256C VDD_GPU_SOC 5959mW/3747mW VDD_CPU_CV 1986mW/2520mW VIN_SYS_5V0 5241mW/4947mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1411mW/1209mW NC 0mW/0mW
04-21-2025 12:34:38 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [12%@729,0%@729,5%@729,0%@729,17%@2201,6%@2201,68%@2201,0%@2201,17%@729,6%@729,0%@729,6%@729] EMC_FREQ 7%@2133 GR3D_FREQ 44%@713 GR3D2_FREQ 44%@705 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.406C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.218C CV1@-256C GPU@46.812C tj@50.906C SOC1@47.437C CV2@-256C VDD_GPU_SOC 6356mW/3856mW VDD_CPU_CV 1986mW/2498mW VIN_SYS_5V0 5342mW/4964mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1411mW/1217mW NC 0mW/0mW
04-21-2025 12:34:38 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [31%@2201,6%@729,0%@2201,6%@2201,13%@729,0%@729,46%@729,0%@729,23%@729,0%@729,6%@729,6%@729] EMC_FREQ 7%@2133 GR3D_FREQ 48%@713 GR3D2_FREQ 48%@707 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.687C Tboard@38C SOC2@46.343C Tdiode@40C SOC0@47.187C CV1@-256C GPU@46.843C tj@50.687C SOC1@47.281C CV2@-256C VDD_GPU_SOC 6356mW/3956mW VDD_CPU_CV 1986mW/2478mW VIN_SYS_5V0 5342mW/4979mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1411mW/1225mW NC 0mW/0mW
04-21-2025 12:34:38 RAM 4863/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,61%@2201,7%@2201,7%@2201,14%@729,13%@729,7%@729,0%@729,15%@729,14%@729,7%@729,7%@729] EMC_FREQ 8%@2133 GR3D_FREQ 48%@713 GR3D2_FREQ 48%@709 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.75C tj@50.781C SOC1@47.406C CV2@-256C VDD_GPU_SOC 6356mW/4048mW VDD_CPU_CV 1986mW/2459mW VIN_SYS_5V0 5342mW/4993mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1236mW NC 0mW/0mW
04-21-2025 12:34:39 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,66%@2201,0%@2201,0%@2201,15%@729,7%@729,7%@729,0%@729,15%@729,7%@729,0%@729,7%@729] EMC_FREQ 8%@2133 GR3D_FREQ 45%@713 GR3D2_FREQ 45%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.781C Tboard@38C SOC2@46.406C Tdiode@40C SOC0@47.187C CV1@-256C GPU@46.468C tj@50.781C SOC1@47.343C CV2@-256C VDD_GPU_SOC 6356mW/4134mW VDD_CPU_CV 1986mW/2441mW VIN_SYS_5V0 5342mW/5006mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1246mW NC 0mW/0mW
04-21-2025 12:34:39 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [21%@2201,66%@2201,0%@2201,0%@2201,15%@729,0%@729,0%@729,0%@729,14%@729,0%@729,0%@729,0%@729] EMC_FREQ 8%@2133 GR3D_FREQ 44%@710 GR3D2_FREQ 44%@710 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.468C Tboard@38C SOC2@46.312C Tdiode@40C SOC0@47.375C CV1@-256C GPU@46.812C tj@50.468C SOC1@47.406C CV2@-256C VDD_GPU_SOC 6356mW/4213mW VDD_CPU_CV 1986mW/2425mW VIN_SYS_5V0 5342mW/5018mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1255mW NC 0mW/0mW
04-21-2025 12:34:39 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [16%@2201,66%@2201,0%@2201,0%@2201,8%@729,7%@729,7%@729,0%@729,15%@729,0%@729,0%@729,7%@729] EMC_FREQ 8%@2133 GR3D_FREQ 44%@713 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.437C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.562C tj@50.437C SOC1@47.5C CV2@-256C VDD_GPU_SOC 6356mW/4287mW VDD_CPU_CV 1986mW/2410mW VIN_SYS_5V0 5342mW/5029mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1264mW NC 0mW/0mW
04-21-2025 12:34:39 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@2201,42%@2201,14%@2201,0%@2201,18%@729,13%@729,7%@729,0%@729,14%@729,0%@729,0%@729,0%@729] EMC_FREQ 9%@2133 GR3D_FREQ 45%@713 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.406C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.718C tj@50.406C SOC1@47.406C CV2@-256C VDD_GPU_SOC 6356mW/4356mW VDD_CPU_CV 1986mW/2396mW VIN_SYS_5V0 5342mW/5039mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1273mW NC 0mW/0mW
04-21-2025 12:34:39 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [14%@2201,0%@2201,64%@2201,0%@2201,0%@729,0%@729,7%@729,7%@729,20%@729,0%@729,0%@729,0%@729] EMC_FREQ 9%@2133 GR3D_FREQ 44%@713 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.343C Tboard@38C SOC2@46.25C Tdiode@40C SOC0@47.218C CV1@-256C GPU@46.343C tj@50.593C SOC1@47.656C CV2@-256C VDD_GPU_SOC 6356mW/4420mW VDD_CPU_CV 1986mW/2382mW VIN_SYS_5V0 5342mW/5049mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1280mW NC 0mW/0mW
04-21-2025 12:34:39 RAM 4863/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [20%@2201,5%@2201,66%@2201,0%@2201,18%@729,0%@729,6%@729,0%@729,13%@729,0%@729,0%@729,12%@729] EMC_FREQ 9%@2133 GR3D_FREQ 44%@708 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.25C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.156C CV1@-256C GPU@46.875C tj@50.531C SOC1@47.343C CV2@-256C VDD_GPU_SOC 6356mW/4481mW VDD_CPU_CV 1986mW/2370mW VIN_SYS_5V0 5342mW/5058mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1287mW NC 0mW/0mW
04-21-2025 12:34:39 RAM 4863/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [25%@2201,0%@2201,64%@2201,0%@2201,25%@729,7%@729,0%@729,7%@729,15%@729,0%@729,7%@729,7%@729] EMC_FREQ 9%@2133 GR3D_FREQ 44%@713 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.343C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.437C CV1@-256C GPU@47.062C tj@50.562C SOC1@47.562C CV2@-256C VDD_GPU_SOC 6356mW/4538mW VDD_CPU_CV 1986mW/2358mW VIN_SYS_5V0 5342mW/5067mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1294mW NC 0mW/0mW
04-21-2025 12:34:40 RAM 4865/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [8%@2201,0%@2201,71%@2201,0%@2201,14%@729,0%@729,7%@729,13%@729,7%@729,7%@729,7%@729,7%@729] EMC_FREQ 9%@2133 GR3D_FREQ 44%@713 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.281C Tdiode@40C SOC0@47.343C CV1@-256C GPU@46.937C tj@50.25C SOC1@47.406C CV2@-256C VDD_GPU_SOC 6356mW/4591mW VDD_CPU_CV 1986mW/2347mW VIN_SYS_5V0 5342mW/5075mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1301mW NC 0mW/0mW
04-21-2025 12:34:40 RAM 4862/30587MB (lfb 1x4MB) SWAP 31/15294MB (cached 0MB) CPU [15%@2201,0%@2201,61%@2201,0%@2201,15%@729,7%@729,7%@729,0%@729,15%@729,0%@729,0%@729,0%@729] EMC_FREQ 9%@2133 GR3D_FREQ 44%@713 GR3D2_FREQ 44%@713 VIC_FREQ 115 APE 174 CV0@-256C CPU@50.593C Tboard@38C SOC2@46.218C Tdiode@40C SOC0@47.281C CV1@-256C GPU@46.687C tj@50.312C SOC1@47.343C CV2@-256C VDD_GPU_SOC 6356mW/4641mW VDD_CPU_CV 1986mW/2337mW VIN_SYS_5V0 5342mW/5082mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1512mW/1307mW NC 0mW/0mW
